project_location_id,place_name,latitude,longitude,project_title,start_actual_isodate,end_actual_isodate,recipients,ad_sector_names,commitments,disbursements
P111840_2243911,Ambriz,-7.93053,13.4808,AO-Municipal Health Service Strengthening (Revitaliza&#231;&#227;o),6/8/10,12/31/15,Angola,"Health, general|Health",2781126.344,
P081558_2241484,Dande Municipality,-8.5,13.83333,3rd Social Action Fund (FAS III),7/29/03,6/30/09,Angola,"Water supply and sanitation|Education, level unspecified|Health|Government and civil society, general|Other social infrastructure and services",2365417.466,2586364.397
P111840_2241484,Dande Municipality,-8.5,13.83333,AO-Municipal Health Service Strengthening (Revitaliza&#231;&#227;o),6/8/10,12/31/15,Angola,"Health, general|Health",2781126.344,
P081558_3351661,Benguela,-12.73963,13.57784,3rd Social Action Fund (FAS III),7/29/03,6/30/09,Angola,"Water supply and sanitation|Education, level unspecified|Health|Government and civil society, general|Other social infrastructure and services",2365417.466,2586364.397
P081558_2240660,Cacongo,-5.03817,12.23852,3rd Social Action Fund (FAS III),7/29/03,6/30/09,Angola,"Water supply and sanitation|Education, level unspecified|Health|Government and civil society, general|Other social infrastructure and services",2365417.466,2586364.397
P081558_3346850,MunicÃ_pio Ombadja,-16.66667,15,3rd Social Action Fund (FAS III),7/29/03,6/30/09,Angola,"Water supply and sanitation|Education, level unspecified|Health|Government and civil society, general|Other social infrastructure and services",2365417.466,2586364.397
P081558_3351497,CaÃ¡la,-13.20684,15.54883,3rd Social Action Fund (FAS III),7/29/03,6/30/09,Angola,"Water supply and sanitation|Education, level unspecified|Health|Government and civil society, general|Other social infrastructure and services",2365417.466,2586364.397
P081558_3349996,Chibia,-15.23657,13.88468,3rd Social Action Fund (FAS III),7/29/03,6/30/09,Angola,"Water supply and sanitation|Education, level unspecified|Health|Government and civil society, general|Other social infrastructure and services",2365417.466,2586364.397
P081558_3351905,MunicÃ_pio Amboim,-11,14.33333,3rd Social Action Fund (FAS III),7/29/03,6/30/09,Angola,"Water supply and sanitation|Education, level unspecified|Health|Government and civil society, general|Other social infrastructure and services",2365417.466,2586364.397
P111840_2240756,Icolo e Bengo,-9.14664,13.8414,AO-Municipal Health Service Strengthening (Revitaliza&#231;&#227;o),6/8/10,12/31/15,Angola,"Health, general|Health",2781126.344,
P081558_2236499,Viana,-9,13.33333,3rd Social Action Fund (FAS III),7/29/03,6/30/09,Angola,"Water supply and sanitation|Education, level unspecified|Health|Government and civil society, general|Other social infrastructure and services",2365417.466,2586364.397
P111840_145897,Cambulo,-7.85976,21.4688,AO-Municipal Health Service Strengthening (Revitaliza&#231;&#227;o),6/8/10,12/31/15,Angola,"Health, general|Health",2781126.344,
P111840_145775,Chitato,-7.41914,20.39811,AO-Municipal Health Service Strengthening (Revitaliza&#231;&#227;o),6/8/10,12/31/15,Angola,"Health, general|Health",2781126.344,
P111840_2241665,Cuango,-8.58042,18.08789,AO-Municipal Health Service Strengthening (Revitaliza&#231;&#227;o),6/8/10,12/31/15,Angola,"Health, general|Health",2781126.344,
P111840_145723,Lucapa,-8.68337,20.27045,AO-Municipal Health Service Strengthening (Revitaliza&#231;&#227;o),6/8/10,12/31/15,Angola,"Health, general|Health",2781126.344,
P111840_2243120,Cacuso,-9.46475,15.72811,AO-Municipal Health Service Strengthening (Revitaliza&#231;&#227;o),6/8/10,12/31/15,Angola,"Health, general|Health",2781126.344,
P093699_2242997,Calandula,-8.67092,15.94849,AO-Market Oriented Smallholder Agriculture Project,7/31/08,12/31/15,Angola,"Water supply and sanitation|Agriculture, forestry, fishing|Agriculture",1252782.966,21904.39777
P111840_2242997,Calandula,-8.67092,15.94849,AO-Municipal Health Service Strengthening (Revitaliza&#231;&#227;o),6/8/10,12/31/15,Angola,"Health, general|Health",2781126.344,
