Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Population mid-year estimates (millions),"6,542.16",,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
1,"Total, all countries or areas",2005,Population mid-year estimates for males (millions),"3,296.12",,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
1,"Total, all countries or areas",2005,Population mid-year estimates for females (millions),"3,246.04",,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
1,"Total, all countries or areas",2005,Sex ratio (males per 100 females),101.5,,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
1,"Total, all countries or areas",2005,Population aged 0 to 14 years old (percentage),28,,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
1,"Total, all countries or areas",2005,Population aged 60+ years old (percentage),10.3,,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
1,"Total, all countries or areas",2005,Population density,50.3,,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
1,"Total, all countries or areas",2010,Population mid-year estimates (millions),"6,958.17",,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
1,"Total, all countries or areas",2010,Population mid-year estimates for males (millions),"3,508.24",,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
1,"Total, all countries or areas",2010,Population mid-year estimates for females (millions),"3,449.93",,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
1,"Total, all countries or areas",2010,Sex ratio (males per 100 females),101.7,,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
1,"Total, all countries or areas",2010,Population aged 0 to 14 years old (percentage),26.8,,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
1,"Total, all countries or areas",2010,Population aged 60+ years old (percentage),11.1,,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
1,"Total, all countries or areas",2010,Population density,53.5,,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
1,"Total, all countries or areas",2015,Population mid-year estimates (millions),"7,383.01",,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
1,"Total, all countries or areas",2015,Population mid-year estimates for males (millions),"3,724.13",,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
